iter	Logloss
0	0.6873382397
1	0.6814495472
2	0.675770706
3	0.6699594219
4	0.6643071121
5	0.6586777762
6	0.6534965172
7	0.6484308136
8	0.6436091219
9	0.6384875694
10	0.6332340455
11	0.6296405578
12	0.6247008249
13	0.6196621241
14	0.6148241879
15	0.6108214989
16	0.6061739547
17	0.6020118628
18	0.597899962
19	0.5940064848
20	0.5896766748
21	0.5860266525
22	0.5819528987
23	0.5781878782
24	0.5742543681
25	0.5716743898
26	0.5692868179
27	0.5656334952
28	0.5616515942
29	0.5589319293
30	0.5560072138
31	0.5530541666
32	0.5495183709
33	0.546193455
34	0.5436581387
35	0.5413616052
36	0.5381091686
37	0.5354885144
38	0.5331761221
39	0.5305094344
40	0.5281607381
41	0.5258927935
42	0.5234080111
43	0.5211935579
44	0.5185357855
45	0.5156688047
46	0.5136661744
47	0.5116627297
48	0.5095109404
49	0.507416843
50	0.5051902171
51	0.5027272942
52	0.5015683978
53	0.499747287
54	0.4974021483
55	0.4949045931
56	0.4929785139
57	0.4909821414
58	0.4886774642
59	0.4868004617
60	0.4846114684
61	0.4831322659
62	0.4814928891
63	0.4792276018
64	0.4772968078
65	0.4758016608
66	0.4742456072
67	0.4725547533
68	0.4707780474
69	0.4691618159
70	0.4672873851
71	0.4657046715
72	0.4641337448
73	0.462705505
74	0.4609350997
75	0.459190583
76	0.45799744
77	0.4571802375
78	0.4558575662
79	0.4548652306
80	0.4534543927
81	0.4520142373
82	0.4507286415
83	0.4495851324
84	0.4480385084
85	0.4467281813
86	0.4455606696
87	0.4445454458
88	0.4432697082
89	0.442179562
90	0.4414777434
91	0.4403685666
92	0.4393274972
93	0.4382467377
94	0.436931653
95	0.435749354
96	0.4346625939
97	0.4333732691
98	0.4323228986
99	0.431486837
100	0.4306183719
101	0.429615578
102	0.428551406
103	0.4277252026
104	0.4272063609
105	0.4262492576
106	0.4251982871
107	0.4245876355
108	0.4236623357
109	0.4228386182
110	0.4222342673
111	0.4216399889
112	0.4208065419
113	0.4198454096
114	0.4191222459
115	0.4183257885
116	0.4173860014
117	0.4163607479
118	0.4156796745
119	0.4150843245
120	0.4145951003
121	0.4138294606
122	0.4130915953
123	0.4125040462
124	0.4117749675
125	0.4114313018
126	0.4108465816
127	0.4106687053
128	0.409947256
129	0.4094002542
130	0.4087775584
131	0.4084346643
132	0.4078209695
133	0.4071427677
134	0.4064373059
135	0.4059351375
136	0.4053613041
137	0.4048669365
138	0.4043933997
139	0.4037409579
140	0.40338962
141	0.4029918199
142	0.4022463681
143	0.4016771209
144	0.4011573363
145	0.400837759
146	0.4002109485
147	0.3996109695
148	0.3991239741
149	0.39863625
150	0.3980616452
151	0.3975741783
152	0.3974221905
153	0.3969802428
154	0.39647756
155	0.3959021408
156	0.39581526
157	0.3953556961
158	0.3952093232
159	0.3947136268
160	0.394272022
161	0.3937752542
162	0.3935029105
163	0.3929809399
164	0.3927154541
165	0.3922617623
166	0.3918773351
167	0.3915848464
168	0.3910945935
169	0.39063863
170	0.3904192635
171	0.3901374474
172	0.3895483553
173	0.3891833873
174	0.3890884914
175	0.3887229662
176	0.3884253341
177	0.3880966701
178	0.3876643234
179	0.3875795429
180	0.3873142714
181	0.3868666231
182	0.3865816781
183	0.386253014
184	0.3858356262
185	0.3856566354
186	0.3851493235
187	0.3846496411
188	0.384286259
189	0.384071693
190	0.3836783934
191	0.3832538476
192	0.3829839471
193	0.3826350523
194	0.3821853466
195	0.3817578862
196	0.3814194926
197	0.3810435092
198	0.380696586
199	0.3803818092
200	0.3800509164
201	0.3799521628
202	0.3798233204
203	0.3794342212
204	0.3793070932
205	0.3792088112
206	0.3788056106
207	0.3784331418
208	0.3781896013
209	0.3779584049
210	0.377758669
211	0.3776109674
212	0.3773877433
213	0.3771243149
214	0.3767907646
215	0.3764699014
216	0.376208959
217	0.3758064441
218	0.3755305858
219	0.3753749547
220	0.3751774477
221	0.3749229345
222	0.3748691002
223	0.3746667069
224	0.3745549234
225	0.3742415182
226	0.3741267344
227	0.3738878229
228	0.3735958057
229	0.3733621233
230	0.3732458393
231	0.3730394171
232	0.372621772
233	0.3725833679
234	0.3721946973
235	0.3719905039
236	0.3717035872
237	0.3716241215
238	0.3714949361
239	0.3711593285
240	0.3707934176
241	0.3706946212
242	0.370657803
243	0.3704532238
244	0.3701343751
245	0.3698945206
246	0.3697141583
247	0.3694857479
248	0.3692344065
249	0.3690711461
250	0.3688966558
251	0.3688377638
252	0.3686595445
253	0.3684469502
254	0.3682893903
255	0.3680887544
256	0.3677692199
257	0.3675162069
258	0.3672946973
259	0.3670559572
260	0.3667187209
261	0.3665385728
262	0.3664776663
263	0.3663067335
264	0.366153417
265	0.3659367936
266	0.3658841165
267	0.3658704008
268	0.3658162663
269	0.3654645427
270	0.3653005964
271	0.365258249
272	0.3650786153
273	0.3647774686
274	0.36456526
275	0.364299817
276	0.3641869191
277	0.3640645917
278	0.3637863331
279	0.3636211867
280	0.3633887044
281	0.3632133998
282	0.3629924903
283	0.3628487748
284	0.3626774991
285	0.3625328835
286	0.3623767381
287	0.3622805563
288	0.3622696266
289	0.3620193567
290	0.3617893176
291	0.3617166241
292	0.3617028226
293	0.3615558496
294	0.3613435552
295	0.3613193383
296	0.3610510665
297	0.3608662466
298	0.3607251028
299	0.3605519841
300	0.3603067291
301	0.360165371
302	0.3600534589
303	0.3599586915
304	0.359894999
305	0.3598320779
306	0.3596270272
307	0.3594493866
308	0.3593650132
309	0.3591457753
310	0.3591217512
311	0.3590854259
312	0.3588341274
313	0.358713943
314	0.3585850576
315	0.3584083386
316	0.3582472212
317	0.3581208861
318	0.3580233756
319	0.3578844821
320	0.3577799636
321	0.3577105919
322	0.3573925147
323	0.3572364336
324	0.3570726802
325	0.3569692333
326	0.3569067623
327	0.3567864922
328	0.3566230174
329	0.3562795446
330	0.3561537239
331	0.3559968498
332	0.355893553
333	0.3558107869
334	0.3556332535
335	0.3554677642
336	0.355369225
337	0.3552735147
338	0.3550108577
339	0.3547455434
340	0.3544518546
341	0.3542792931
342	0.3542070067
343	0.3539450999
344	0.3538313233
345	0.353749886
346	0.3535794247
347	0.3535086814
348	0.353419186
349	0.3532745704
350	0.3530586543
351	0.3529690732
352	0.3528679623
353	0.3527603364
354	0.3526358229
355	0.3525937541
356	0.3522992081
357	0.3521776521
358	0.3520116485
359	0.3519480845
360	0.3519122734
361	0.3517149164
362	0.3515349399
363	0.3514450588
364	0.3514027113
365	0.3512724116
366	0.3511449192
367	0.3510395221
368	0.3509789156
369	0.3509545273
370	0.350804704
371	0.3506137762
372	0.3505272169
373	0.3503282954
374	0.3500835119
375	0.3499928592
376	0.3498138256
377	0.3495971165
378	0.3494379922
379	0.3493779
380	0.34929837
381	0.3491226368
382	0.3489671343
383	0.348904899
384	0.3488688094
385	0.3487552257
386	0.3485046772
387	0.3484883683
388	0.3484416919
389	0.3482903898
